model,context,dataset,id,sentence,sent_shuffle,true_label,pred_original,pred_shuffle,change_type,has_discourse_marker,has_hedging,has_causal_structure,has_contrastive,claim_premise_structure,notes
ministral-14b-latest,c1,ABSTRCT,ABSTRCT-dev-1,Long-term relief of symptoms has the potential to improve overall quality of life and increase compliance with anti-oestrogen medications for breast cancer.,cancer. the of compliance overall life with for potential and medications increase quality relief of has anti-oestrogen to improve Long-term symptoms breast,Argument,Argument,No-Argument,correct_to_wrong,,,,,,
ministral-14b-latest,c1,ABSTRCT,ABSTRCT-dev-2,"However, the complication rate was lower in the viscocanalostomy group.","the rate complication viscocanalostomy lower in group. was However, the",Argument,Argument,No-Argument,correct_to_wrong,,,,,,
ministral-14b-latest,c1,ABSTRCT,ABSTRCT-dev-3,"Despite higher rates of some adverse effects (anemia, abdominal pain, constipation, fatigue) the overall toxicity profile of vinflunine was manageable.","manageable. adverse toxicity some pain, overall profile was effects the vinflunine constipation, higher fatigue) rates of (anemia, abdominal Despite of",Argument,Argument,No-Argument,correct_to_wrong,,,,,,
ministral-14b-latest,c1,ABSTRCT,ABSTRCT-dev-5,"Tenofovir disoproxil fumarate (TDF) monotherapy was effective and well tolerated without TDF resistance development in CHB patients with LAM-R, for up to 240weeks.","patients CHB fumarate in was development with resistance 240weeks. effective tolerated disoproxil for TDF without to monotherapy LAM-R, and well Tenofovir (TDF) up",Argument,Argument,No-Argument,correct_to_wrong,,,,,,
ministral-14b-latest,c1,ABSTRCT,ABSTRCT-dev-7,AT represents a valid option for the treatment of MBC.,treatment valid a of for the MBC. option AT represents,Argument,Argument,No-Argument,correct_to_wrong,,,,,,
ministral-14b-latest,c1,ABSTRCT,ABSTRCT-dev-8,"GEM is equally effective in controlling 'disease-specific' symptoms, but superior in controlling 'constitutional' symptoms.","but 'constitutional' symptoms, 'disease-specific' symptoms. controlling controlling equally superior effective in GEM is in",Argument,Argument,No-Argument,correct_to_wrong,,,,,,
ministral-14b-latest,c1,ABSTRCT,ABSTRCT-dev-10,"While a higher rate of side effects, albeit mild to moderate, was detected with 1/3 dose bacillus Calmette-Guérin compared to gemcitabine, our study failed to show significant differences between the 2 drugs in terms of quality of life.","was terms moderate, in of the detected side show 2 differences of to to rate to gemcitabine, study bacillus life. drugs significant While of with compared higher quality between failed our effects, mild 1/3 dose Calmette-Guérin a albeit",Argument,Argument,No-Argument,correct_to_wrong,,,,,,
ministral-14b-latest,c1,ABSTRCT,ABSTRCT-dev-11,"ONJ is multifactorial and no single treatment modality is likely to reverse it; however, it is treatable and even advanced presentations can improve with intensive multimodal therapy.","treatable it; likely therapy. advanced treatment single to is improve reverse even is it intensive however, multifactorial and multimodal no can modality is with ONJ and presentations",Argument,Argument,No-Argument,correct_to_wrong,,,,,,
ministral-14b-latest,c1,ABSTRCT,ABSTRCT-dev-13,Provision of multimodal exercise programs will improve the short-term health of women undergoing adjuvant therapy for breast cancer but are of questionable economic efficiency.,for will but efficiency. adjuvant of cancer women therapy breast of undergoing questionable improve health multimodal economic programs are the short-term Provision exercise of,Argument,Argument,No-Argument,correct_to_wrong,,,,,,
ministral-14b-latest,c1,ABSTRCT,ABSTRCT-dev-15,"Thus, elderly patients in need of intensified chemotherapy may receive FLOT without compromising patient-reported outcome parameters.","chemotherapy receive of intensified outcome FLOT compromising may elderly patients patient-reported parameters. need without Thus, in",Argument,Argument,No-Argument,correct_to_wrong,,,,,,
ministral-14b-latest,c1,ABSTRCT,ABSTRCT-dev-172,A target IOP of 21 mm Hg at 6 months was achieved in 53 of 56 (95%) eyes in the 5-FU group and 54 of 57 (95%) eyes in the MMC group (P = 1.00).,months in mm 5-FU group and the (95%) (95%) of of was achieved eyes 6 the MMC Hg 57 A = 53 in IOP (P in group of 54 21 1.00). 56 eyes target at,No-Argument,Argument,No-Argument,wrong_to_correct,,,,,,
ministral-14b-latest,c1,ABSTRCT,ABSTRCT-dev-174,"This randomized, multicenter, phase III study compared doxorubicin and docetaxel (AT) with doxorubicin and cyclophosphamide (AC) as first-line chemotherapy (CT) in metastatic breast cancer (MBC).","as doxorubicin docetaxel (CT) chemotherapy compared study (AT) (AC) metastatic with first-line randomized, cyclophosphamide breast and multicenter, cancer III (MBC). doxorubicin and This phase in",No-Argument,Argument,No-Argument,wrong_to_correct,,,,,,
ministral-14b-latest,c1,ABSTRCT,ABSTRCT-dev-175,Therapy was switched to open-label latanoprost pm and timolol am and pm for uncontrolled IOP.,timolol uncontrolled and pm IOP. for latanoprost switched am to open-label pm Therapy was and,No-Argument,Argument,No-Argument,wrong_to_correct,,,,,,
ministral-14b-latest,c1,ABSTRCT,ABSTRCT-dev-176,The intraocular pressure reductions with brinzolamide two and three times daily were clinically and statistically equivalent.,and times brinzolamide two statistically daily clinically three intraocular pressure and equivalent. with were The reductions,No-Argument,Argument,No-Argument,wrong_to_correct,,,,,,
ministral-14b-latest,c1,ABSTRCT,ABSTRCT-dev-178,Grade 3 to 4 hematologic toxicity did not exceed 15% in both treatment arms.,exceed treatment not did arms. both toxicity to 15% 4 hematologic Grade 3 in,No-Argument,Argument,No-Argument,wrong_to_correct,,,,,,
ministral-14b-latest,c1,ABSTRCT,ABSTRCT-dev-183,"CI -1.54% to 10.80%, P = 0.1493).","-1.54% 10.80%, P to 0.1493). CI =",No-Argument,Evidence,No-Argument,wrong_to_correct,,,,,,
ministral-14b-latest,c1,ABSTRCT,ABSTRCT-dev-184,"The median overall survival (OS) was 34.1 and 30.7 months in Arms A and B, respectively (HR 0.98; 95% CI 0.81-1.18, P = 0.82).","respectively was 95% 0.82). and in 0.98; Arms B, (HR median A P 34.1 months overall = (OS) CI and 30.7 The survival 0.81-1.18,",No-Argument,Argument,No-Argument,wrong_to_correct,,,,,,
ministral-14b-latest,c1,ACQUA,ACQUA-dev-2,"I'll get my AOL instantly on my Blackberry, and instantly on my ipod Touch, but it's a lot slower coming through on my MacBook Pro laptop.","a ipod instantly laptop. coming my on on it's my my slower get but MacBook Touch, my lot Pro instantly on Blackberry, and I'll AOL through",Argument,Argument,No-Argument,correct_to_wrong,,,,,,
ministral-14b-latest,c1,ACQUA,ACQUA-dev-3,"To quote you ""Sony is doing much better than Microsoft"" Please elaborate.","better doing you than Microsoft"" much elaborate. ""Sony is To quote Please",Argument,Argument,No-Argument,correct_to_wrong,,,,,,
ministral-14b-latest,c1,ACQUA,ACQUA-dev-4,for those who care about such things... i returned my Nikon 4500 10 days ago on 12th day of free 10-day trial and i traded down to a panasonic lumix LC40 with Leica lens because it had a faster shutter response and looked pretty bad ass.,of trial panasonic Nikon i my lumix lens 10 care a about and down 4500 Leica it shutter ass. LC40 with to traded 10-day and faster looked for free 12th bad days had pretty who a such because things... returned ago on day those i response,Argument,Argument,No-Argument,correct_to_wrong,,,,,,
ministral-14b-latest,c1,ACQUA,ACQUA-dev-5,The real reason why Python will still be slower than Java is because it's a much more dynamic language.,a it's Python than will much dynamic still because more Java real is reason language. be slower The why,Argument,Argument,No-Argument,correct_to_wrong,,,,,,
ministral-14b-latest,c1,ACQUA,ACQUA-dev-6,"The pasta was mediocre, not as memorable as the pizza.","as mediocre, was the as memorable pizza. not The pasta",Argument,Argument,No-Argument,correct_to_wrong,,,,,,
ministral-14b-latest,c1,ACQUA,ACQUA-dev-7,"That second conclusion is obviously true, but virginia was slaughtered Saturday by the oregon Ducks, which makes BYU's loss a little uglier.","uglier. true, conclusion which slaughtered the makes a but oregon loss Ducks, Saturday second by obviously BYU's virginia was That is little",Argument,Argument,No-Argument,correct_to_wrong,,,,,,
ministral-14b-latest,c1,ACQUA,ACQUA-dev-10,"About the graphics, if you decide to do them, OpenGL is much easier to use than Direct3D (Part of DirectX).","DirectX). decide use you OpenGL to than of to easier (Part is the much graphics, Direct3D do them, About if",Argument,Argument,No-Argument,correct_to_wrong,,,,,,
ministral-14b-latest,c1,ACQUA,ACQUA-dev-14,"The point is Skov saying that somehow michigan is worse than a Notre Dame, USC, or virginia, because that's just plain false.","false. that is or worse Notre virginia, just somehow Dame, that's USC, than point a saying because michigan is The Skov plain",Argument,Argument,No-Argument,correct_to_wrong,,,,,,
ministral-14b-latest,c1,ACQUA,ACQUA-dev-15,"cider, generally, is slower then beer to develop flavors so don't rush it and you will enjoy the results.","you and then so beer will the to it enjoy don't generally, rush is results. develop flavors cider, slower",Argument,Argument,No-Argument,correct_to_wrong,,,,,,
ministral-14b-latest,c1,ACQUA,ACQUA-dev-176,"Others who took the same classes, could barely use any of the tools and had much harder time and were quite unprepared and only knew C++ (even though they took the same classes when I was out I had C, C++, Java, Python, Lisp and many others under my belt (Those were new technologies at the time)) Because after I was taught the basics I expanded further to try to actually master the topics vs. just enough to pass the test.","Because much belt new classes tools technologies use basics the to (Those out actually only expanded time)) Lisp I when who pass the C, and try were quite after the others taught C++, barely further took harder had and Python, knew classes, could under vs. any master unprepared to was of my Others were just I enough test. (even I and Java, many C++ topics I took though the the same at the to and time they same was the had",No-Argument,Argument,No-Argument,wrong_to_correct,,,,,,
ministral-14b-latest,c1,AEC,AEC-dev-2,"If evolutionary theory is flawed, what do you propose as a counter-theory?","you what theory propose as do counter-theory? is flawed, If evolutionary a",Argument,Argument,No-Argument,correct_to_wrong,,,,,,
ministral-14b-latest,c1,AEC,AEC-dev-3,But that is not the only factor to determine if it is right.,to factor is if right. only is determine not the But that it,Argument,Argument,No-Argument,correct_to_wrong,,,,,,
ministral-14b-latest,c1,AEC,AEC-dev-5,but IMO it is more humain to put them down and not leave them in a cage for the rest of there lives.,cage a it in humain them for leave lives. to down IMO rest not and there more the put them but is of,Argument,Argument,No-Argument,correct_to_wrong,,,,,,
ministral-14b-latest,c1,AEC,AEC-dev-6,So the poeple taht made it great were about protecting families.,were taht poeple about it great protecting made So the families.,Argument,Argument,No-Argument,correct_to_wrong,,,,,,
ministral-14b-latest,c1,AEC,AEC-dev-7,but no example posted here has really made much of a case against it.,much against made really it. case has example of posted here but no a,Argument,Argument,No-Argument,correct_to_wrong,,,,,,
ministral-14b-latest,c1,AEC,AEC-dev-8,"If the gun suit reform cannot be passed without amendments that extend the assault weapon ban and reguulate private sales, we need to urge our lawmakers NOT to pass it.","sales, weapon that NOT to be cannot the extend ban amendments lawmakers it. need and to the assault private gun reguulate pass reform our passed without urge If suit we",Argument,Argument,No-Argument,correct_to_wrong,,,,,,
ministral-14b-latest,c1,AEC,AEC-dev-10,But the publications were presented in answer to Behe's claim that there were no scientific papers on the topic.,scientific no presented claim in papers the answer were on that the there publications topic. to Behe's But were,Argument,Argument,No-Argument,correct_to_wrong,,,,,,
ministral-14b-latest,c1,AEC,AEC-dev-11,"But I don't ""believe"" in evolutionary biology ""by faith.""","""believe"" biology ""by in faith."" don't evolutionary But I",Argument,Argument,No-Argument,correct_to_wrong,,,,,,
ministral-14b-latest,c1,AEC,AEC-dev-14,"But, if you werent the one murdered, what right do you have to ask for revenge in your own name?","name? one for the do ask revenge own murdered, to your you if have you in what right But, werent",Argument,Argument,No-Argument,correct_to_wrong,,,,,,
ministral-14b-latest,c1,AEC,AEC-dev-171,We are not talking about additional rights but lesser restrictions.,but talking not lesser additional rights restrictions. about We are,No-Argument,Argument,No-Argument,wrong_to_correct,,,,,,
ministral-14b-latest,c1,AEC,AEC-dev-172,"Based on your post above, a drop in support for these things would increase gun violence.","in for a drop gun these would support on your increase violence. above, things Based post",No-Argument,Argument,No-Argument,wrong_to_correct,,,,,,
ministral-14b-latest,c1,AEC,AEC-dev-173,Science is controlled by godless naturalists.,by is controlled godless Science naturalists.,No-Argument,Argument,No-Argument,wrong_to_correct,,,,,,
ministral-14b-latest,c1,AEC,AEC-dev-174,"Yes, once a gene has been established that leads via an established pathway to a given trait, the deliberately or accidentally modifying some other gene so that it in fact duplicates the established gene would lead through the same established pathway to the same established trait.","deliberately modifying in an other via fact gene pathway gene the has to so established established lead established trait. duplicates the that gene accidentally some same the Yes, or trait, established to through same a it been would established leads a given the once that pathway",No-Argument,Argument,No-Argument,wrong_to_correct,,,,,,
ministral-14b-latest,c1,AEC,AEC-dev-175,"Sadly, creationism is an assertion of dogmatism.","creationism an assertion is dogmatism. Sadly, of",No-Argument,Argument,No-Argument,wrong_to_correct,,,,,,
ministral-14b-latest,c1,AEC,AEC-dev-176,"Last I checked, Churches were places not for science.","Churches not for were science. checked, places Last I",No-Argument,Argument,No-Argument,wrong_to_correct,,,,,,
ministral-14b-latest,c1,AEC,AEC-dev-178,"The terminology is not the issue; we both know what we're talking about, and putting one's religious beliefs into law, forcing them upon others, just isn't right.","religious about, what right. law, we issue; we're one's upon talking into terminology putting just and is beliefs isn't the them both know others, The not forcing",No-Argument,Argument,No-Argument,wrong_to_correct,,,,,,
ministral-14b-latest,c1,AEC,AEC-dev-181,"Actually, I think I'm going to retract my admission regarding this double-muscling mutation.","my retract think regarding mutation. to double-muscling admission I'm going Actually, I this",No-Argument,Argument,No-Argument,wrong_to_correct,,,,,,
ministral-14b-latest,c1,AEC,AEC-dev-182,We have seen exactly what type of effect teaching one label is better than another has done to peoples throughout time.,throughout type another what one than has peoples of better to label have is seen done effect teaching We exactly time.,No-Argument,Argument,No-Argument,wrong_to_correct,,,,,,
ministral-14b-latest,c1,AEC,AEC-dev-185,"Making another anti-gun law is like spitting in the faces of the victims of crime, ""We could'nt protect you last time but we're gonna make sure you can't protect yourself next time"" That's what they are really saying.","the what of That's they yourself victims like sure next can't is faces last law make time we're could'nt saying. time"" you Making really of you anti-gun are protect gonna but spitting the crime, ""We protect another in",No-Argument,Argument,No-Argument,wrong_to_correct,,,,,,
ministral-14b-latest,c1,AFS,AFS-dev-1,"If there was another factor, then there would have already been arguments against this study using other studies produced by the opponents of the death penalty to proved this theory wrong.","by study been death proved there then against arguments using already to wrong. of other this there this produced was studies opponents theory factor, penalty would have the If another the",Argument,Argument,No-Argument,correct_to_wrong,,,,,,
ministral-14b-latest,c1,AFS,AFS-dev-2,Gun control proponents essentially concede this fact when they focus their efforts on anti-gun laws and gun reduction policies rather than increased sentencing or enforcement of existing laws.,policies gun their increased laws. fact this efforts laws focus enforcement on rather and of control anti-gun proponents reduction existing concede sentencing when they or Gun essentially than,Argument,Argument,No-Argument,correct_to_wrong,,,,,,
ministral-14b-latest,c1,AFS,AFS-dev-3,"Can life imprisonment for a definite yes, prevent a murderer from killing again?","prevent yes, imprisonment murderer again? definite killing a for a Can life from",Argument,Argument,No-Argument,correct_to_wrong,,,,,,
ministral-14b-latest,c1,AFS,AFS-dev-5,"Or a Democratic President saying ""if they bring a knife to the fight we bring a gun"".","bring to ""if they a bring we knife a a Democratic fight gun"". saying the Or President",Argument,Argument,No-Argument,correct_to_wrong,,,,,,
